Marktleistung,Verrechnungsbetrag,Periode,year
Arbeitsplatz Software Schale 2,6783.0,2021.01,2018
Arbeitsplatz Software Schale 2,532.0,2021.01,2018
Arbeitsplatz Software Schale 2,135.0,2021.01,2018
Arbeitsplatz Software Schale 2,2141.0,2021.01,2018
Arbeitsplatz Software Schale 2,29876.0,2021.01,2018
Arbeitsplatz Software Schale 2,46.0,2021.01,2018
Arbeitsplatz Software Schale 2,5.0,2021.01,2018
Arbeitsplatz Software Schale 2,798.0,2021.01,2018
Arbeitsplatz Software Schale 2,798.0,2021.01,2018
Arbeitsplatz Software Schale 2,31725.0,2021.01,2018
Arbeitsplatz Software Schale 2,16.0,2021.01,2018
Arbeitsplatz Software Schale 2,1197.0,2021.01,2018
Arbeitsplatz Software Schale 2,60.0,2021.01,2018
Arbeitsplatz Software Schale 2,266.0,2021.01,2018
Secure Messaging Extern,0.0,2021.01,2018
Arbeitsplatz Software Schale 3,158576.0,2021.01,2018
Arbeitsplatz Software Schale 3,175.0,2021.01,2018
Arbeitsplatz Software Schale 3,50.0,2021.01,2018
Arbeitsplatz Software Schale 3,122900.0,2021.01,2018
Internet,38.0,2021.01,2018
Internet,6.0,2021.01,2018
Internet,140.0,2021.01,2018
Internet,30.0,2021.01,2018
Internet,38.0,2021.01,2018
RAS-Wartung,60.0,2021.01,2018
Arbeitsplatz Software Schale 2,295400.0,2021.01,2018
Arbeitsplatz Software Schale 2,0.0,2021.01,2018
Arbeitsplatz Software Schale 2,1862.0,2021.01,2018
Arbeitsplatz Software Schale 2,2926.0,2021.01,2018
Arbeitsplatz Software Schale 2,680.0,2021.01,2018
Arbeitsplatz Software Schale 2,72794.0,2021.01,2018
Arbeitsplatz Software Schale 2,133.0,2021.01,2018
Arbeitsplatz Software Schale 2,135800.0,2021.01,2018
Arbeitsplatz Software Schale 2,391.0,2021.01,2018
Arbeitsplatz Software Schale 2,76209.0,2021.01,2018
Arbeitsplatz Software Schale 2,0.0,2021.01,2018
Arbeitsplatz Software Schale 2,90.0,2021.01,2018
Arbeitsplatz Software Schale 2,225.0,2021.01,2018
Arbeitsplatz Software Schale 2,540.0,2021.01,2018
Arbeitsplatz Software Schale 2,0.0,2021.01,2018
Arbeitsplatz Software Schale 2,0.0,2021.01,2018
Secure Messaging Extern,0.0,2021.01,2018
Secure Messaging Extern,0.0,2021.01,2018
Secure Messaging Extern,6.0,2021.01,2018
